Charger Type,Charging End Time,Charging Start Time,City,Installation Date,Month,Operational Status,Payment Mode,Session ID,Station ID,Total Sessions,User ID,Vehicle Type,Average Energy Per Session,Billed Amount INR,Charging Duration min,Energy Delivered kWh,Latitude,Longitude,No of Ports,Power Rating kW,Year
DC Fast,03-07-2024 00:00,02-07-2024 21:52,Bangalore,26-02-2021,July,Active,Net Banking,SESS0048,STN122,SESS0048,USR8170,3W,12.63,150.58,128,12.63,18.372992,74.593532,3,7.4,2024
AC Fast,05-06-2024 17:29,05-06-2024 15:50,Hyderabad,16-03-2021,June,Active,Credit Card,SESS0049,STN186,SESS0049,USR1580,3W,4.36,42.31,99,4.36,17.399416,75.458083,3,3.3,2024
AC Fast,14-06-2024 20:14,14-06-2024 17:43,Pune,12-09-2021,June,Active,Wallet,SESS0050,STN174,SESS0050,USR1186,2W,100.67,661.35,151,100.67,17.337378,76.679881,5,50,2024
AC Fast,10-06-2024 06:43,10-06-2024 04:39,Delhi,16-08-2022,June,Active,Net Banking,SESS0051,STN111,SESS0051,USR3953,3W,82.67,824.21,124,82.67,17.836812,75.514556,6,50,2024
DC Fast,19-06-2024 19:09,19-06-2024 18:15,Delhi,28-04-2023,June,Inactive,Credit Card,SESS0052,STN134,SESS0052,USR6755,2W,2.38,14.65,54,2.38,18.339194,76.055795,4,3.3,2024
DC Fast,13-06-2024 22:16,13-06-2024 20:20,Bangalore,05-10-2022,June,Active,UPI,SESS0053,STN139,SESS0053,USR9820,Bus,185.6,1999.97,116,185.6,18.218349,74.932914,3,120,2024
DC Fast,11-06-2024 01:18,10-06-2024 22:40,Hyderabad,04-02-2022,June,Inactive,Net Banking,SESS0054,STN107,SESS0054,USR1591,Bus,105.33,985.71,158,105.33,18.088254,76.395947,4,50,2024
DC Fast,02-07-2024 21:58,02-07-2024 21:24,Hyderabad,14-05-2022,July,Inactive,UPI,SESS0055,STN146,SESS0055,USR3056,2W,1.5,12.22,34,1.5,18.276125,73.716525,2,3.3,2024
DC Fast,28-06-2024 19:48,28-06-2024 19:28,Delhi,06-04-2023,June,Inactive,UPI,SESS0056,STN112,SESS0056,USR6630,Bus,13.33,98.5,20,13.33,17.276439,74.785573,2,50,2024
AC Fast,23-06-2024 06:57,23-06-2024 04:57,Hyderabad,30-11-2021,June,Inactive,UPI,SESS0057,STN145,SESS0057,USR2641,Bus,192,1883.73,120,192,17.462217,73.498233,4,120,2024
DC Fast,04-06-2024 07:47,04-06-2024 06:20,Mumbai,14-08-2021,June,Inactive,Credit Card,SESS0058,STN152,SESS0058,USR3522,4W,8.58,77.96,87,8.58,18.746877,75.199157,3,7.4,2024
AC Fast,04-06-2024 08:28,04-06-2024 07:38,Hyderabad,15-08-2021,June,Inactive,Wallet,SESS0059,STN117,SESS0059,USR6621,3W,4.93,55.89,50,4.93,18.940129,76.535873,4,7.4,2024
AC Slow,12-07-2024 17:18,12-07-2024 15:16,Delhi,19-01-2023,July,Inactive,Net Banking,SESS0060,STN187,SESS0060,USR4146,2W,12.04,105.93,122,12.04,18.664971,75.17812,3,7.4,2024
AC Fast,10-07-2024 23:05,10-07-2024 21:12,Pune,25-11-2021,July,Active,Wallet,SESS0061,STN189,SESS0061,USR9149,2W,4.97,44.2,113,4.97,17.163029,73.991825,3,3.3,2024
DC Fast,15-06-2024 14:31,15-06-2024 12:02,Delhi,29-07-2021,June,Active,Net Banking,SESS0062,STN174,SESS0062,USR5531,3W,99.33,1030.42,149,99.33,18.330198,76.362643,6,50,2024
AC Slow,03-06-2024 07:32,03-06-2024 04:47,Delhi,05-02-2022,June,Inactive,UPI,SESS0063,STN178,SESS0063,USR5791,3W,110,791.65,165,110,17.168318,74.607613,5,50,2024
DC Fast,05-06-2024 04:10,05-06-2024 02:23,Delhi,06-07-2021,June,Inactive,Credit Card,SESS0064,STN118,SESS0064,USR6733,4W,71.33,715.88,107,71.33,17.982507,75.593393,3,50,2024
DC Fast,06-06-2024 21:59,06-06-2024 20:44,Hyderabad,07-06-2022,June,Inactive,UPI,SESS0065,STN114,SESS0065,USR3939,2W,15,90.97,75,15,18.375783,75.112265,4,15,2024
DC Fast,23-06-2024 17:44,23-06-2024 16:02,Hyderabad,18-01-2021,June,Active,UPI,SESS0066,STN198,SESS0066,USR3626,4W,10.06,73.99,102,10.06,18.54684,76.003049,6,7.4,2024
AC Slow,03-06-2024 23:19,03-06-2024 22:28,Hyderabad,24-02-2022,June,Active,Wallet,SESS0067,STN185,SESS0067,USR6603,2W,5.03,43.79,51,5.03,17.402534,73.883732,6,7.4,2024
AC Slow,26-06-2024 21:31,26-06-2024 20:53,Mumbai,18-03-2021,June,Active,Net Banking,SESS0068,STN122,SESS0068,USR5928,4W,7.6,48.39,38,7.6,18.629557,72.978954,4,15,2024
AC Fast,06-06-2024 16:52,06-06-2024 15:42,Hyderabad,22-07-2022,June,Active,Credit Card,SESS0069,STN167,SESS0069,USR5063,Bus,14,147.86,70,14,17.132885,76.122406,4,15,2024
AC Slow,09-07-2024 05:10,09-07-2024 02:15,Pune,10-08-2023,July,Inactive,Net Banking,SESS0070,STN122,SESS0070,USR4266,Bus,7.7,75.33,175,7.7,18.410964,75.075579,6,3.3,2024
AC Slow,27-06-2024 14:41,27-06-2024 11:54,Hyderabad,15-04-2023,June,Inactive,Wallet,SESS0071,STN191,SESS0071,USR1556,Bus,7.35,76.81,167,7.35,17.15818,72.894879,4,3.3,2024
DC Fast,19-06-2024 12:17,19-06-2024 10:47,Delhi,21-03-2023,June,Active,Credit Card,SESS0072,STN152,SESS0072,USR8737,Bus,8.88,75.04,90,8.88,18.882679,73.668223,5,7.4,2024
AC Fast,18-06-2024 19:51,18-06-2024 17:36,Delhi,09-07-2022,June,Active,Net Banking,SESS0073,STN117,SESS0073,USR1012,Bus,5.94,42.62,135,5.94,18.320395,77.879551,2,3.3,2024
AC Slow,06-07-2024 04:24,06-07-2024 03:06,Mumbai,19-08-2022,July,Inactive,Credit Card,SESS0074,STN128,SESS0074,USR3941,Bus,3.43,26.5,78,3.43,18.212123,76.202343,2,3.3,2024
DC Fast,13-06-2024 15:23,13-06-2024 15:12,Pune,12-04-2023,June,Active,Net Banking,SESS0075,STN148,SESS0075,USR5625,Bus,1.09,9.52,11,1.09,18.933006,74.876032,2,7.4,2024
DC Fast,01-06-2024 16:55,01-06-2024 14:33,Bangalore,07-03-2023,June,Inactive,Net Banking,SESS0076,STN107,SESS0076,USR9253,4W,28.4,314.8,142,28.4,17.25272,73.574214,5,15,2024
AC Slow,24-06-2024 12:43,24-06-2024 10:14,Mumbai,28-01-2023,June,Active,UPI,SESS0077,STN170,SESS0077,USR1015,2W,29.8,233.22,149,29.8,17.44242,73.313681,5,15,2024
AC Fast,29-06-2024 00:14,28-06-2024 23:02,Hyderabad,09-01-2021,June,Inactive,Wallet,SESS0078,STN137,SESS0078,USR1928,2W,115.2,1012.31,72,115.2,18.804266,75.493373,2,120,2024
AC Slow,01-07-2024 06:24,01-07-2024 05:03,Mumbai,22-06-2021,July,Active,Credit Card,SESS0079,STN198,SESS0079,USR2397,Bus,16.2,111.85,81,16.2,17.018817,76.403458,6,15,2024
AC Fast,09-07-2024 06:54,09-07-2024 04:43,Bangalore,11-04-2022,July,Inactive,Credit Card,SESS0080,STN107,SESS0080,USR4157,2W,12.93,98.02,131,12.93,17.235522,77.428614,2,7.4,2024
AC Slow,19-06-2024 11:37,19-06-2024 11:21,Hyderabad,20-05-2021,June,Inactive,Net Banking,SESS0081,STN191,SESS0081,USR7521,4W,0.7,6.68,16,0.7,18.847527,77.086053,6,3.3,2024
AC Slow,20-06-2024 09:20,20-06-2024 08:56,Mumbai,14-01-2022,June,Active,Wallet,SESS0082,STN151,SESS0082,USR6233,4W,4.8,31.08,24,4.8,17.280733,74.794692,4,15,2024
AC Slow,11-06-2024 19:03,11-06-2024 18:16,Pune,28-11-2022,June,Active,Credit Card,SESS0083,STN172,SESS0083,USR9830,3W,31.33,346.17,47,31.33,17.080004,75.614419,5,50,2024
AC Slow,29-06-2024 03:44,29-06-2024 02:34,Pune,26-05-2021,June,Inactive,Net Banking,SESS0084,STN129,SESS0084,USR6867,2W,3.08,25.91,70,3.08,18.193453,77.770719,3,3.3,2024
AC Fast,05-06-2024 09:14,05-06-2024 08:25,Hyderabad,21-10-2021,June,Inactive,Wallet,SESS0085,STN106,SESS0085,USR5293,3W,4.83,52.49,49,4.83,18.244937,75.592647,4,7.4,2024
AC Slow,16-06-2024 06:06,16-06-2024 03:37,Delhi,26-09-2023,June,Active,Wallet,SESS0086,STN112,SESS0086,USR9276,Bus,14.7,98.64,149,14.7,18.095416,76.83059,5,7.4,2024
AC Fast,06-06-2024 15:51,06-06-2024 15:26,Delhi,30-01-2023,June,Inactive,Credit Card,SESS0087,STN135,SESS0087,USR5072,Bus,40,360.36,25,40,17.061008,76.805597,2,120,2024
DC Fast,26-06-2024 09:43,26-06-2024 07:08,Bangalore,25-12-2021,June,Inactive,Credit Card,SESS0088,STN191,SESS0088,USR6891,3W,248,2137.68,155,248,18.174325,74.482911,4,120,2024
DC Fast,24-06-2024 18:18,24-06-2024 17:15,Hyderabad,03-04-2023,June,Active,Wallet,SESS0089,STN173,SESS0089,USR8204,4W,42,410.31,63,42,18.355249,72.349854,2,50,2024
AC Fast,10-06-2024 15:32,10-06-2024 12:32,Mumbai,16-01-2022,June,Inactive,Net Banking,SESS0090,STN136,SESS0090,USR9655,4W,288,2268.01,180,288,18.046541,72.635333,6,120,2024
DC Fast,01-06-2024 09:29,01-06-2024 06:37,Delhi,09-09-2021,June,Inactive,UPI,SESS0091,STN198,SESS0091,USR4602,4W,34.4,364.18,172,34.4,18.423421,74.342228,6,15,2024
AC Fast,12-06-2024 04:22,12-06-2024 02:35,Mumbai,05-12-2021,June,Active,UPI,SESS0092,STN191,SESS0092,USR3808,4W,10.56,117.36,107,10.56,18.875684,76.420436,6,7.4,2024
AC Slow,16-07-2024 14:25,16-07-2024 12:03,Pune,27-05-2022,July,Inactive,UPI,SESS0093,STN177,SESS0093,USR4814,3W,14.01,167.24,142,14.01,17.179685,76.27162,6,7.4,2024
DC Fast,17-06-2024 01:20,17-06-2024 00:12,Hyderabad,02-01-2021,June,Active,Credit Card,SESS0094,STN170,SESS0094,USR4434,Bus,6.71,78.14,68,6.71,18.744434,73.709459,6,7.4,2024
AC Slow,16-07-2024 18:12,16-07-2024 17:44,Pune,12-05-2022,July,Active,Credit Card,SESS0095,STN164,SESS0095,USR3848,2W,2.76,18.73,28,2.76,18.213951,77.148614,4,7.4,2024
AC Slow,28-06-2024 12:06,28-06-2024 10:12,Hyderabad,21-05-2023,June,Active,Credit Card,SESS0096,STN185,SESS0096,USR5992,2W,76,795.03,114,76,17.900295,73.290872,3,50,2024
DC Fast,04-07-2024 01:29,04-07-2024 00:32,Mumbai,11-07-2023,July,Inactive,Wallet,SESS0097,STN115,SESS0097,USR9778,4W,11.4,123.82,57,11.4,17.959529,77.667233,6,15,2024
DC Fast,03-07-2024 14:56,03-07-2024 13:13,Delhi,22-09-2022,July,Inactive,UPI,SESS0098,STN126,SESS0098,USR7847,Bus,68.67,722.94,103,68.67,17.618585,75.755178,2,50,2024
AC Slow,04-06-2024 07:46,04-06-2024 05:59,Delhi,19-08-2021,June,Active,UPI,SESS0099,STN150,SESS0099,USR1181,Bus,21.4,233.08,107,21.4,18.822324,77.344361,6,15,2024
DC Fast,17-06-2024 08:18,17-06-2024 07:13,Mumbai,19-06-2023,June,Inactive,Credit Card,SESS0100,STN193,SESS0100,USR3265,Bus,2.86,22.27,65,2.86,18.671077,74.699024,5,3.3,2024
AC Fast,13-06-2024 04:28,13-06-2024 03:54,Pune,24-08-2023,June,Inactive,Net Banking,SESS0101,STN106,SESS0101,USR5968,Bus,3.35,25.02,34,3.35,18.10258,75.371436,6,7.4,2024
DC Fast,03-07-2024 09:46,03-07-2024 09:06,Mumbai,14-01-2021,July,Active,Wallet,SESS0102,STN148,SESS0102,USR1163,3W,64,454.83,40,64,18.977299,72.150181,2,120,2024
DC Fast,13-06-2024 00:54,12-06-2024 23:52,Bangalore,06-02-2023,June,Active,Credit Card,SESS0103,STN194,SESS0103,USR8199,2W,6.12,64.87,62,6.12,17.496178,77.128327,5,7.4,2024
DC Fast,16-07-2024 16:32,16-07-2024 14:36,Mumbai,29-03-2023,July,Active,Wallet,SESS0104,STN165,SESS0104,USR8558,2W,23.2,205.08,116,23.2,17.89224,72.214571,2,15,2024
AC Fast,11-07-2024 11:47,11-07-2024 11:18,Mumbai,30-08-2021,July,Active,Wallet,SESS0105,STN175,SESS0105,USR3299,4W,19.33,117.35,29,19.33,17.930332,73.486955,3,50,2024
DC Fast,29-06-2024 04:42,29-06-2024 03:02,Bangalore,01-04-2021,June,Inactive,Net Banking,SESS0106,STN181,SESS0106,USR6740,Bus,160,1104.24,100,160,18.14491,73.680362,2,120,2024
AC Slow,17-06-2024 01:50,17-06-2024 00:52,Mumbai,18-02-2022,June,Inactive,UPI,SESS0107,STN154,SESS0107,USR2219,Bus,92.8,601.4,58,92.8,18.319199,75.360846,2,120,2024
AC Fast,12-06-2024 08:24,12-06-2024 06:37,Bangalore,17-02-2021,June,Active,Net Banking,SESS0108,STN110,SESS0108,USR6248,4W,71.33,501.58,107,71.33,17.505425,77.577252,6,50,2024
AC Slow,11-06-2024 02:35,11-06-2024 01:17,Pune,16-01-2023,June,Active,UPI,SESS0109,STN102,SESS0109,USR2165,2W,3.43,25.77,78,3.43,17.321103,73.451617,2,3.3,2024
DC Fast,23-06-2024 03:06,23-06-2024 00:51,Bangalore,03-06-2023,June,Inactive,Wallet,SESS0110,STN167,SESS0110,USR2018,2W,13.32,130.11,135,13.32,18.328043,77.959413,4,7.4,2024
AC Fast,10-06-2024 13:32,10-06-2024 11:58,Pune,02-06-2021,June,Active,Credit Card,SESS0111,STN190,SESS0111,USR4920,2W,62.67,440.56,94,62.67,18.815688,74.699156,3,50,2024
DC Fast,10-06-2024 10:36,10-06-2024 09:18,Bangalore,28-07-2022,June,Inactive,Credit Card,SESS0112,STN195,SESS0112,USR3335,4W,3.43,21.38,78,3.43,18.663277,73.476957,3,3.3,2024
AC Fast,29-06-2024 20:47,29-06-2024 17:57,Bangalore,18-05-2023,June,Inactive,Credit Card,SESS0113,STN173,SESS0113,USR9540,3W,113.33,1177.79,170,113.33,18.232215,77.965677,3,50,2024
AC Fast,09-07-2024 11:29,09-07-2024 10:44,Hyderabad,03-12-2021,July,Inactive,UPI,SESS0114,STN109,SESS0114,USR1663,3W,72,557.7,45,72,17.702601,76.363986,2,120,2024
DC Fast,13-07-2024 15:42,13-07-2024 13:06,Pune,25-05-2022,July,Active,Wallet,SESS0115,STN116,SESS0115,USR2420,3W,31.2,295.11,156,31.2,17.037352,72.670137,5,15,2024
DC Fast,14-06-2024 03:06,14-06-2024 01:29,Delhi,10-02-2023,June,Inactive,Credit Card,SESS0116,STN105,SESS0116,USR9940,Bus,64.67,658.3,97,64.67,17.756658,73.618208,3,50,2024
DC Fast,20-06-2024 00:31,19-06-2024 22:57,Mumbai,11-05-2023,June,Inactive,UPI,SESS0117,STN164,SESS0117,USR5654,4W,62.67,590.42,94,62.67,17.098323,75.2468,4,50,2024
AC Fast,18-06-2024 02:06,18-06-2024 00:24,Bangalore,11-01-2022,June,Active,Wallet,SESS0118,STN150,SESS0118,USR9880,3W,20.4,196.04,102,20.4,17.629029,75.545622,3,15,2024
DC Fast,02-06-2024 19:15,02-06-2024 16:19,Delhi,26-06-2023,June,Active,Net Banking,SESS0119,STN181,SESS0119,USR2113,3W,17.37,108.56,176,17.37,18.98176,73.83877,5,7.4,2024
DC Fast,10-06-2024 01:31,10-06-2024 00:32,Mumbai,23-09-2021,June,Active,Credit Card,SESS0120,STN137,SESS0120,USR1094,4W,39.33,330.36,59,39.33,18.598676,75.907903,5,50,2024
DC Fast,15-07-2024 17:59,15-07-2024 15:56,Bangalore,03-07-2023,July,Active,Net Banking,SESS0121,STN162,SESS0121,USR5323,4W,24.6,216.41,123,24.6,18.461714,75.495266,2,15,2024
AC Fast,16-06-2024 03:57,16-06-2024 01:11,Pune,05-12-2021,June,Inactive,UPI,SESS0122,STN149,SESS0122,USR7645,2W,265.6,3185.31,166,265.6,17.496646,76.669371,4,120,2024
AC Fast,02-06-2024 17:37,02-06-2024 16:44,Bangalore,24-09-2023,June,Active,UPI,SESS0123,STN194,SESS0123,USR5602,3W,10.6,82.33,53,10.6,17.017877,77.284275,4,15,2024
AC Slow,24-06-2024 09:53,24-06-2024 09:00,Pune,30-07-2023,June,Inactive,Wallet,SESS0124,STN106,SESS0124,USR2205,Bus,10.6,96.15,53,10.6,17.440362,74.920821,6,15,2024
AC Slow,21-06-2024 15:47,21-06-2024 15:35,Bangalore,24-10-2022,June,Inactive,Credit Card,SESS0125,STN196,SESS0125,USR1946,4W,8,56.51,12,8,17.488221,74.475067,2,50,2024
DC Fast,12-07-2024 11:35,12-07-2024 10:29,Hyderabad,30-03-2021,July,Active,UPI,SESS0126,STN198,SESS0126,USR4218,2W,105.6,976.07,66,105.6,17.997554,73.384276,2,120,2024
DC Fast,02-07-2024 20:15,02-07-2024 19:31,Delhi,15-09-2023,July,Inactive,Credit Card,SESS0127,STN178,SESS0127,USR9668,2W,29.33,199.34,44,29.33,17.814499,77.463796,5,50,2024
AC Fast,09-06-2024 09:31,09-06-2024 06:32,Bangalore,11-02-2023,June,Active,UPI,SESS0128,STN144,SESS0128,USR5055,2W,286.4,3273.19,179,286.4,18.959412,72.278678,2,120,2024
DC Fast,18-06-2024 15:07,18-06-2024 14:14,Hyderabad,24-10-2022,June,Active,Credit Card,SESS0129,STN151,SESS0129,USR9184,3W,5.23,57.96,53,5.23,18.270293,76.27082,5,7.4,2024
AC Slow,06-07-2024 12:18,06-07-2024 10:21,Pune,03-07-2022,July,Inactive,Net Banking,SESS0130,STN149,SESS0130,USR7967,Bus,11.54,102.21,117,11.54,17.337286,76.449238,6,7.4,2024
AC Fast,30-06-2024 18:39,30-06-2024 17:26,Bangalore,16-02-2023,June,Inactive,Credit Card,SESS0131,STN183,SESS0131,USR5797,3W,48.67,314.75,73,48.67,17.512048,75.160967,3,50,2024
AC Fast,26-06-2024 07:28,26-06-2024 06:04,Mumbai,23-06-2023,June,Inactive,Net Banking,SESS0132,STN191,SESS0132,USR9171,4W,3.7,38.57,84,3.7,17.365776,77.635422,3,3.3,2024
DC Fast,09-06-2024 03:37,09-06-2024 01:56,Delhi,07-06-2023,June,Inactive,Net Banking,SESS0133,STN141,SESS0133,USR1477,2W,9.97,106.73,101,9.97,18.432189,73.41307,3,7.4,2024
AC Fast,16-07-2024 20:31,16-07-2024 19:22,Bangalore,02-01-2021,July,Active,Credit Card,SESS0134,STN103,SESS0134,USR2317,4W,46,397.97,69,46,18.860018,77.200726,5,50,2024
DC Fast,01-06-2024 20:46,01-06-2024 18:59,Hyderabad,03-09-2022,June,Inactive,Wallet,SESS0135,STN116,SESS0135,USR5880,4W,10.56,95.75,107,10.56,18.663258,72.537148,5,7.4,2024
AC Slow,12-07-2024 14:11,12-07-2024 12:03,Bangalore,21-10-2021,July,Inactive,Net Banking,SESS0136,STN147,SESS0136,USR3586,Bus,5.63,34.01,128,5.63,18.167453,76.910978,5,3.3,2024
AC Fast,04-06-2024 11:00,04-06-2024 09:57,Mumbai,15-08-2021,June,Inactive,Wallet,SESS0137,STN125,SESS0137,USR3677,Bus,6.22,69.4,63,6.22,17.300964,75.200108,4,7.4,2024
AC Slow,21-06-2024 06:20,21-06-2024 04:57,Pune,17-07-2022,June,Inactive,Net Banking,SESS0138,STN135,SESS0138,USR1629,3W,3.65,28.15,83,3.65,17.098494,73.872654,3,3.3,2024
AC Fast,12-07-2024 09:41,12-07-2024 08:25,Delhi,01-08-2022,July,Active,Wallet,SESS0139,STN140,SESS0139,USR7277,3W,121.6,1118.37,76,121.6,18.68715,74.766118,6,120,2024
AC Fast,14-06-2024 03:42,14-06-2024 02:29,Mumbai,11-11-2022,June,Inactive,Credit Card,SESS0140,STN182,SESS0140,USR7068,3W,14.6,119.69,73,14.6,18.998709,74.494395,2,15,2024
AC Slow,03-07-2024 19:38,03-07-2024 17:34,Bangalore,21-04-2023,July,Inactive,Wallet,SESS0141,STN181,SESS0141,USR9390,3W,5.46,45.86,124,5.46,17.781748,74.841742,3,3.3,2024
AC Fast,08-07-2024 02:35,08-07-2024 00:17,Bangalore,04-09-2021,July,Active,Wallet,SESS0142,STN114,SESS0142,USR3705,3W,13.62,126.03,138,13.62,18.25438,73.939095,5,7.4,2024
DC Fast,18-06-2024 03:34,18-06-2024 02:38,Bangalore,10-05-2023,June,Inactive,Net Banking,SESS0143,STN116,SESS0143,USR5802,2W,2.46,21.03,56,2.46,17.930564,74.737704,5,3.3,2024
AC Slow,15-07-2024 11:28,15-07-2024 10:12,Delhi,06-10-2021,July,Inactive,Wallet,SESS0144,STN165,SESS0144,USR5831,4W,7.5,69.9,76,7.5,17.783963,77.961691,2,7.4,2024
AC Fast,19-06-2024 08:57,19-06-2024 06:33,Hyderabad,31-08-2023,June,Inactive,Credit Card,SESS0145,STN194,SESS0145,USR9407,4W,6.34,38.77,144,6.34,17.10538,76.891547,2,3.3,2024
AC Fast,11-06-2024 08:10,11-06-2024 07:32,Mumbai,13-05-2022,June,Inactive,Wallet,SESS0146,STN171,SESS0146,USR5886,3W,7.6,81,38,7.6,17.554987,76.356734,2,15,2024
DC Fast,03-07-2024 07:28,03-07-2024 06:51,Pune,24-03-2022,July,Active,Credit Card,SESS0147,STN157,SESS0147,USR9495,Bus,7.4,75.59,37,7.4,17.464859,72.616836,6,15,2024
DC Fast,22-06-2024 18:21,22-06-2024 16:11,Pune,10-01-2023,June,Inactive,Wallet,SESS0148,STN152,SESS0148,USR9150,2W,208,2197.77,130,208,17.707015,72.568514,6,120,2024
DC Fast,16-07-2024 23:03,16-07-2024 22:25,Bangalore,15-04-2023,July,Active,UPI,SESS0149,STN176,SESS0149,USR6370,3W,3.75,29.66,38,3.75,18.387652,73.9925,4,7.4,2024
DC Fast,09-07-2024 22:37,09-07-2024 20:50,Pune,18-03-2023,July,Active,Wallet,SESS0150,STN162,SESS0150,USR4520,3W,71.33,855.39,107,71.33,17.857673,77.961323,4,50,2024
DC Fast,14-07-2024 09:22,14-07-2024 08:50,Delhi,07-06-2023,July,Active,UPI,SESS0151,STN150,SESS0151,USR4412,2W,3.16,29.6,32,3.16,17.528791,73.813316,6,7.4,2024
AC Fast,07-07-2024 07:22,07-07-2024 05:37,Hyderabad,21-03-2023,July,Inactive,Net Banking,SESS0152,STN198,SESS0152,USR4581,4W,10.36,117.64,105,10.36,18.746321,75.175188,3,7.4,2024
AC Slow,26-06-2024 19:47,26-06-2024 18:52,Hyderabad,05-05-2021,June,Active,Net Banking,SESS0153,STN124,SESS0153,USR5267,2W,36.67,378.87,55,36.67,17.63229,76.410877,3,50,2024
DC Fast,13-06-2024 08:42,13-06-2024 06:30,Delhi,05-11-2022,June,Inactive,Wallet,SESS0154,STN184,SESS0154,USR6732,2W,13.02,79.52,132,13.02,17.799457,76.333431,6,7.4,2024
AC Fast,21-06-2024 12:06,21-06-2024 11:00,Pune,19-04-2021,June,Active,Net Banking,SESS0155,STN169,SESS0155,USR2670,Bus,2.9,22.73,66,2.9,18.384768,72.834393,2,3.3,2024
AC Slow,01-06-2024 06:09,01-06-2024 04:21,Bangalore,04-07-2021,June,Active,UPI,SESS0156,STN165,SESS0156,USR7198,4W,10.66,87.93,108,10.66,17.404517,77.311609,2,7.4,2024
DC Fast,02-06-2024 17:06,02-06-2024 16:45,Hyderabad,15-12-2022,June,Active,Credit Card,SESS0157,STN117,SESS0157,USR4716,3W,0.92,8.37,21,0.92,17.70102,77.055793,4,3.3,2024
AC Slow,22-06-2024 16:13,22-06-2024 14:58,Mumbai,06-01-2022,June,Active,Wallet,SESS0158,STN169,SESS0158,USR7723,4W,7.4,46.26,75,7.4,18.026879,77.883503,4,7.4,2024
AC Slow,13-07-2024 15:06,13-07-2024 14:09,Bangalore,21-06-2021,July,Inactive,Wallet,SESS0159,STN157,SESS0159,USR9971,4W,2.51,24.18,57,2.51,17.51742,72.034137,2,3.3,2024
AC Fast,27-06-2024 07:27,27-06-2024 04:55,Delhi,19-02-2022,June,Inactive,Wallet,SESS0160,STN161,SESS0160,USR1101,4W,15,115,152,15,17.684598,76.633498,5,7.4,2024
AC Fast,05-07-2024 10:30,05-07-2024 08:31,Delhi,03-02-2023,July,Active,UPI,SESS0161,STN107,SESS0161,USR3472,Bus,79.33,531.14,119,79.33,18.075733,74.977909,2,50,2024
DC Fast,22-06-2024 23:00,22-06-2024 20:01,Mumbai,07-08-2023,June,Active,Credit Card,SESS0162,STN103,SESS0162,USR7325,2W,286.4,2858.29,179,286.4,18.541421,76.914501,2,120,2024
AC Slow,07-07-2024 19:36,07-07-2024 17:49,Hyderabad,07-05-2021,July,Inactive,Net Banking,SESS0163,STN142,SESS0163,USR1295,Bus,4.71,49.79,107,4.71,17.067923,76.063057,4,3.3,2024
DC Fast,16-07-2024 03:21,16-07-2024 03:10,Pune,28-02-2022,July,Active,Credit Card,SESS0164,STN185,SESS0164,USR7804,4W,2.2,16.71,11,2.2,18.394973,73.055248,5,15,2024
AC Slow,05-07-2024 03:47,05-07-2024 01:43,Pune,28-12-2022,July,Inactive,Credit Card,SESS0165,STN194,SESS0165,USR7951,3W,82.67,834.84,124,82.67,17.351858,76.623863,4,50,2024
DC Fast,08-07-2024 20:40,08-07-2024 17:40,Delhi,22-04-2023,July,Active,Net Banking,SESS0166,STN198,SESS0166,USR8341,4W,288,3067.19,180,288,18.19665,75.033952,6,120,2024
AC Fast,28-06-2024 01:05,28-06-2024 00:13,Pune,11-05-2023,June,Active,UPI,SESS0167,STN130,SESS0167,USR5830,4W,2.29,20.09,52,2.29,17.72098,77.98651,3,3.3,2024
AC Slow,02-07-2024 11:01,02-07-2024 09:17,Delhi,05-07-2023,July,Active,Credit Card,SESS0168,STN120,SESS0168,USR1236,4W,20.8,227.06,104,20.8,18.235049,76.112389,3,15,2024
DC Fast,19-06-2024 14:15,19-06-2024 13:18,Mumbai,05-07-2021,June,Inactive,Net Banking,SESS0169,STN186,SESS0169,USR9215,2W,91.2,985.9,57,91.2,18.562903,76.053815,3,120,2024
DC Fast,09-07-2024 00:47,08-07-2024 22:51,Bangalore,19-10-2021,July,Inactive,Wallet,SESS0170,STN136,SESS0170,USR3435,3W,5.1,58.29,116,5.1,18.96391,76.876684,2,3.3,2024
DC Fast,23-06-2024 18:44,23-06-2024 17:38,Delhi,06-12-2021,June,Active,UPI,SESS0171,STN184,SESS0171,USR8368,4W,13.2,157.79,66,13.2,18.411301,75.519161,5,15,2024
AC Slow,01-07-2024 22:33,01-07-2024 21:35,Bangalore,17-07-2021,July,Inactive,Net Banking,SESS0172,STN141,SESS0172,USR8705,2W,5.72,41.86,58,5.72,17.870704,74.581973,3,7.4,2024
AC Slow,24-06-2024 13:32,24-06-2024 10:37,Pune,26-05-2023,June,Inactive,Wallet,SESS0173,STN147,SESS0173,USR4160,2W,7.7,63.73,175,7.7,17.788044,72.559651,6,3.3,2024
AC Slow,13-06-2024 13:44,13-06-2024 10:59,Pune,03-08-2022,June,Active,UPI,SESS0174,STN113,SESS0174,USR2103,Bus,33,338.57,165,33,18.803694,73.730207,3,15,2024
AC Fast,30-06-2024 21:09,30-06-2024 20:03,Delhi,03-07-2021,June,Active,Net Banking,SESS0175,STN174,SESS0175,USR1065,Bus,44,353.85,66,44,18.335017,75.932155,3,50,2024
